pokedex_entry,pokemon_name,pokemon_types,species,height,weight,abilities,ev_yield,catch_rate,friendship,base_exp,growth_rate,egg_groups,genders,egg_cycles,super_effective_on_subject,not_effective_on_subject,no_effect_on_subject,description,level_up_moves
010,Caterpie,['Bug'],Worm Pokémon,0.3 m (1′00″),2.9 kg (6.4 lbs),"['Shield Dust', 'Run Away']","
1 HP ","255 (33.3% with PokéBall, full HP)",70 (normal),39,Medium Fast,['Bug'],"['50% male', '50% female']","15 (3,599–3,855 steps)
","['Fire', 'Flying', 'Rock']","['Grass', 'Fighting', 'Ground']",[],Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,"[('1', 'String Shot'), ('1', 'Tackle'), ('9', 'Bug Bite')]"
011,Metapod,['Bug'],Cocoon Pokémon,0.7 m (2′04″),9.9 kg (21.8 lbs),['Shed Skin'],"
2 Defense ","120 (15.7% with PokéBall, full HP)",70 (normal),72,Medium Fast,['Bug'],"['50% male', '50% female']","15 (3,599–3,855 steps)
","['Fire', 'Flying', 'Rock']","['Grass', 'Fighting', 'Ground']",[],"Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack.","[('1', 'Harden')]"
012,Butterfree,"['Bug', 'Flying']",Butterfly Pokémon,1.1 m (3′07″),32.0 kg (70.5 lbs),"['Compound Eyes', 'Tinted Lens']","
2 Special Attack, 1 Special Defense ","45 (5.9% with PokéBall, full HP)",70 (normal),178,Medium Fast,['Bug'],"['50% male', '50% female']","15 (3,599–3,855 steps)
","['Fire', 'Electric', 'Ice', 'Flying', 'Rock']",['Bug'],['Ground'],It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.,"[('1', 'Bug Bite'), ('1', 'Gust'), ('1', 'Harden'), ('1', 'String Shot'), ('1', 'Tackle'), ('4', 'Supersonic'), ('8', 'Confusion'), ('12', 'Poison Powder'), ('12', 'Sleep Powder'), ('12', 'Stun Spore'), ('16', 'Psybeam'), ('20', 'Whirlwind'), ('24', 'Air Slash'), ('28', 'Safeguard'), ('32', 'Bug Buzz'), ('36', 'Tailwind'), ('40', 'Rage Powder'), ('44', 'Quiver Dance')]"
013,Weedle,"['Bug', 'Poison']",Hairy Bug Pokémon,0.3 m (1′00″),3.2 kg (7.1 lbs),"['Shield Dust', 'Run Away']","
1 Speed ","255 (33.3% with PokéBall, full HP)",70 (normal),39,Medium Fast,['Bug'],"['50% male', '50% female']","15 (3,599–3,855 steps)
","['Fire', 'Flying', 'Psychic', 'Rock']","['Poison', 'Bug', 'Fairy']",[],Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.,"[('1', 'Poison Sting'), ('1', 'String Shot')]"
014,Kakuna,"['Bug', 'Poison']",Cocoon Pokémon,0.6 m (2′00″),10.0 kg (22.0 lbs),['Shed Skin'],"
2 Defense ","120 (15.7% with PokéBall, full HP)",70 (normal),72,Medium Fast,['Bug'],"['50% male', '50% female']","15 (3,599–3,855 steps)
","['Fire', 'Flying', 'Psychic', 'Rock']","['Poison', 'Bug', 'Fairy']",[],"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.","[('1', 'Harden')]"
015,Beedrill,"['Bug', 'Poison']",Poison Bee Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),"['Swarm', 'Sniper']","
2 Attack, 1 Special Defense ","45 (5.9% with PokéBall, full HP)",70 (normal),178,Medium Fast,['Bug'],"['50% male', '50% female']","15 (3,599–3,855 steps)
","['Fire', 'Flying', 'Psychic', 'Rock']","['Poison', 'Bug', 'Fairy']",[],015 (Red/Blue/Yellow)029 (Gold/Silver/Crystal)015 (FireRed/LeafGreen)029 (HeartGold/SoulSilver)028 (X/Y — Central Kalos)015 (Let's Go Pikachu/Let's Go Eevee),"[('1', 'Peck'), ('1', 'Twineedle'), ('13', 'Rage'), ('16', 'Fury Attack'), ('19', 'Focus Energy'), ('22', 'Poison Jab'), ('25', 'Agility'), ('28', 'Pin Missile'), ('31', 'Outrage')]"
016,Pidgey,"['Normal', 'Flying']",Tiny Bird Pokémon,0.3 m (1′00″),1.8 kg (4.0 lbs),"['Keen Eye', 'Tangled Feet', 'Big Pecks']","
1 Speed ","255 (33.3% with PokéBall, full HP)",70 (normal),50,Medium Slow,['Flying'],"['50% male', '50% female']","15 (3,599–3,855 steps)
","['Electric', 'Ice', 'Rock']","['Grass', 'Bug']","['Ground', 'Ghost']","Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.","[('1', 'Tackle'), ('3', 'Sand Attack'), ('5', 'Gust'), ('9', 'Mirror Move'), ('11', 'Quick Attack'), ('15', 'Wing Attack'), ('17', 'Roost'), ('21', 'Whirlwind'), ('23', 'Agility'), ('27', 'Air Slash'), ('29', 'Razor Wind')]"
017,Pidgeotto,"['Normal', 'Flying']",Bird Pokémon,1.1 m (3′07″),30.0 kg (66.1 lbs),"['Keen Eye', 'Tangled Feet', 'Big Pecks']","
2 Speed ","120 (15.7% with PokéBall, full HP)",70 (normal),122,Medium Slow,['Flying'],"['50% male', '50% female']","15 (3,599–3,855 steps)
","['Electric', 'Ice', 'Rock']","['Grass', 'Bug']","['Ground', 'Ghost']",This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.,"[('1', 'Gust'), ('1', 'Quick Attack'), ('1', 'Sand Attack'), ('1', 'Tackle'), ('3', 'Sand Attack'), ('5', 'Gust'), ('9', 'Quick Attack'), ('11', 'Mirror Move'), ('15', 'Wing Attack'), ('17', 'Roost'), ('25', 'Whirlwind'), ('31', 'Agility'), ('39', 'Air Slash'), ('45', 'Razor Wind')]"
018,Pidgeot,"['Normal', 'Flying']",Bird Pokémon,1.5 m (4′11″),39.5 kg (87.1 lbs),"['Keen Eye', 'Tangled Feet', 'Big Pecks']","
3 Speed ","45 (5.9% with PokéBall, full HP)",70 (normal),216,Medium Slow,['Flying'],"['50% male', '50% female']","15 (3,599–3,855 steps)
","['Electric', 'Ice', 'Rock']","['Grass', 'Bug']","['Ground', 'Ghost']",018 (Red/Blue/Yellow)012 (Gold/Silver/Crystal)018 (FireRed/LeafGreen)012 (HeartGold/SoulSilver)019 (X/Y — Central Kalos)018 (Let's Go Pikachu/Let's Go Eevee),"[('1', 'Gust'), ('1', 'Heat Wave'), ('1', 'Quick Attack'), ('1', 'Sand Attack'), ('1', 'Sky Attack'), ('1', 'Tackle'), ('3', 'Sand Attack'), ('5', 'Gust'), ('9', 'Quick Attack'), ('11', 'Mirror Move'), ('15', 'Wing Attack'), ('17', 'Roost'), ('25', 'Whirlwind'), ('31', 'Agility'), ('43', 'Air Slash'), ('53', 'Razor Wind')]"
019,Rattata,['Normal'],Mouse Pokémon,0.3 m (1′00″),3.5 kg (7.7 lbs),"['Run Away', 'Guts', 'Hustle']","
1 Speed ","255 (33.3% with PokéBall, full HP)",70 (normal),51,Medium Fast,['Field'],"['50% male', '50% female']","15 (3,599–3,855 steps)
","['Fighting', 'Bug', 'Fairy']","['Fire', 'Ice', 'Dark']","['Psychic', 'Ghost']",019 (Red/Blue/Yellow)017 (Gold/Silver/Crystal)019 (FireRed/LeafGreen)017 (HeartGold/SoulSilver)059 (Black 2/White 2)015 (Sun/Moon — Alola dex)015 (U.Sun/U.Moon — Alola dex)019 (Let's Go Pikachu/Let's Go Eevee),"[('1', 'Tackle'), ('3', 'Tail Whip'), ('6', 'Quick Attack'), ('9', 'Focus Energy'), ('12', 'Bite'), ('15', 'Super Fang'), ('18', 'Crunch'), ('21', 'Hyper Fang'), ('24', 'Sucker Punch'), ('27', 'Double-Edge')]"
020,Raticate,['Normal'],Mouse Pokémon,0.7 m (2′04″),18.5 kg (40.8 lbs),"['Run Away', 'Guts', 'Hustle']","
2 Speed ","127 (16.6% with PokéBall, full HP)",70 (normal),145,Medium Fast,['Field'],"['50% male', '50% female']","15 (3,599–3,855 steps)
","['Fighting', 'Bug', 'Fairy']","['Fire', 'Ice', 'Dark']","['Psychic', 'Ghost']",020 (Red/Blue/Yellow)018 (Gold/Silver/Crystal)020 (FireRed/LeafGreen)018 (HeartGold/SoulSilver)060 (Black 2/White 2)016 (Sun/Moon — Alola dex)016 (U.Sun/U.Moon — Alola dex)020 (Let's Go Pikachu/Let's Go Eevee),"[('1', 'Counter'), ('1', 'Focus Energy'), ('1', 'Fury Swipes'), ('1', 'Quick Attack'), ('1', 'Swords Dance'), ('1', 'Tackle'), ('1', 'Tail Whip'), ('3', 'Tail Whip'), ('6', 'Quick Attack'), ('9', 'Focus Energy'), ('12', 'Bite'), ('15', 'Super Fang'), ('18', 'Crunch'), ('26', 'Hyper Fang'), ('34', 'Sucker Punch'), ('42', 'Double-Edge')]"
021,Spearow,"['Normal', 'Flying']",Tiny Bird Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs),"['Keen Eye', 'Sniper']","
1 Speed ","255 (33.3% with PokéBall, full HP)",70 (normal),52,Medium Fast,['Flying'],"['50% male', '50% female']","15 (3,599–3,855 steps)
","['Electric', 'Ice', 'Rock']","['Grass', 'Bug']","['Ground', 'Ghost']","Inept at flying high. However, it can fly around very fast to protect its territory.","[('1', 'Peck'), ('3', 'Growl'), ('8', 'Leer'), ('11', 'Focus Energy'), ('16', 'Fury Attack'), ('19', 'Mirror Move'), ('24', 'Roost'), ('27', 'Agility'), ('32', 'Drill Peck')]"
022,Fearow,"['Normal', 'Flying']",Beak Pokémon,1.2 m (3′11″),38.0 kg (83.8 lbs),"['Keen Eye', 'Sniper']","
2 Speed ","90 (11.8% with PokéBall, full HP)",70 (normal),155,Medium Fast,['Flying'],"['50% male', '50% female']","15 (3,599–3,855 steps)
","['Electric', 'Ice', 'Rock']","['Grass', 'Bug']","['Ground', 'Ghost']","A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.","[('1', 'Drill Run'), ('1', 'Focus Energy'), ('1', 'Growl'), ('1', 'Leer'), ('1', 'Peck'), ('1', 'Quick Attack'), ('1', 'Sky Attack'), ('3', 'Growl'), ('8', 'Leer'), ('11', 'Focus Energy'), ('16', 'Fury Attack'), ('19', 'Mirror Move'), ('29', 'Roost'), ('37', 'Agility'), ('47', 'Drill Peck')]"
023,Ekans,['Poison'],Snake Pokémon,2.0 m (6′07″),6.9 kg (15.2 lbs),"['Intimidate', 'Shed Skin', 'Unnerve']","
1 Attack ","255 (33.3% with PokéBall, full HP)",70 (normal),58,Medium Fast,"['Dragon', 'Field']","['50% male', '50% female']","20 (4,884–5,140 steps)
","['Ground', 'Psychic']","['Grass', 'Fighting', 'Poison', 'Bug', 'Fairy']",[],"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.","[('1', 'Poison Sting'), ('1', 'Wrap'), ('4', 'Leer'), ('8', 'Acid'), ('12', 'Bite'), ('16', 'Haze'), ('20', 'Glare'), ('24', 'Poison Jab'), ('28', 'Slam'), ('32', 'Screech'), ('36', 'Toxic')]"
024,Arbok,['Poison'],Cobra Pokémon,3.5 m (11′06″),65.0 kg (143.3 lbs),"['Intimidate', 'Shed Skin', 'Unnerve']","
2 Attack ","90 (11.8% with PokéBall, full HP)",70 (normal),157,Medium Fast,"['Dragon', 'Field']","['50% male', '50% female']","20 (4,884–5,140 steps)
","['Ground', 'Psychic']","['Grass', 'Fighting', 'Poison', 'Bug', 'Fairy']",[],The frightening patterns on its belly have been studied. Six variations have been confirmed.,"[('1', 'Acid'), ('1', 'Crunch'), ('1', 'Leer'), ('1', 'Poison Sting'), ('1', 'Sucker Punch'), ('1', 'Wrap'), ('4', 'Leer'), ('9', 'Acid'), ('12', 'Bite'), ('16', 'Haze'), ('20', 'Glare'), ('28', 'Poison Jab'), ('36', 'Slam'), ('44', 'Screech'), ('52', 'Toxic')]"
025,Pikachu,['Electric'],Mouse Pokémon,0.4 m (1′04″),6.0 kg (13.2 lbs),"['Static', 'Lightning Rod']","
2 Speed ","190 (24.8% with PokéBall, full HP)",70 (normal),112,Medium Fast,"['Fairy', 'Field']","['50% male', '50% female']","10 (2,314–2,570 steps)
",['Ground'],"['Electric', 'Flying', 'Steel']",[],025 (Red/Blue/Yellow)022 (Gold/Silver/Crystal)156 (Ruby/Sapphire/Emerald)025 (FireRed/LeafGreen)104 (Diamond/Pearl)104 (Platinum)022 (HeartGold/SoulSilver)036 (X/Y — Central Kalos)163 (Omega Ruby/Alpha Sapphire)025 (Sun/Moon — Alola dex)032 (U.Sun/U.Moon — Alola dex)025 (Let's Go Pikachu/Let's Go Eevee)194 (Sword/Shield),"[('1', 'Charm'), ('1', 'Growl'), ('1', 'Nasty Plot'), ('1', 'Nuzzle'), ('1', 'Play Nice'), ('1', 'Quick Attack'), ('1', 'Sweet Kiss'), ('1', 'Tail Whip'), ('1', 'Thunder Shock'), ('4', 'Thunder Wave'), ('8', 'Double Team'), ('12', 'Electro Ball'), ('16', 'Feint'), ('20', 'Spark'), ('24', 'Agility'), ('28', 'Slam'), ('32', 'Discharge'), ('36', 'Thunderbolt'), ('40', 'Light Screen'), ('44', 'Thunder')]"
026,Raichu,['Electric'],Mouse Pokémon,0.8 m (2′07″),30.0 kg (66.1 lbs),"['Static', 'Lightning Rod']","
3 Speed ","75 (9.8% with PokéBall, full HP)",70 (normal),218,Medium Fast,"['Fairy', 'Field']","['50% male', '50% female']","10 (2,314–2,570 steps)
","['Ground', 'Bug', 'Ghost', 'Dark']","['Electric', 'Fighting', 'Flying', 'Psychic', 'Steel']",[],026 (Red/Blue/Yellow)023 (Gold/Silver/Crystal)157 (Ruby/Sapphire/Emerald)026 (FireRed/LeafGreen)105 (Diamond/Pearl)105 (Platinum)023 (HeartGold/SoulSilver)037 (X/Y — Central Kalos)164 (Omega Ruby/Alpha Sapphire)026 (Sun/Moon — Alola dex)033 (U.Sun/U.Moon — Alola dex)026 (Let's Go Pikachu/Let's Go Eevee)195 (Sword/Shield),"[('1', 'Agility'), ('1', 'Charm'), ('1', 'Discharge'), ('1', 'Double Team'), ('1', 'Electro Ball'), ('1', 'Feint'), ('1', 'Growl'), ('1', 'Light Screen'), ('1', 'Nasty Plot'), ('1', 'Nuzzle'), ('1', 'Play Nice'), ('1', 'Quick Attack'), ('1', 'Slam'), ('1', 'Spark'), ('1', 'Sweet Kiss'), ('1', 'Tail Whip'), ('1', 'Thunder'), ('1', 'Thunder Punch'), ('1', 'Thunder Shock'), ('1', 'Thunder Wave'), ('1', 'Thunderbolt')]"
027,Sandshrew,['Ground'],Mouse Pokémon,0.6 m (2′00″),12.0 kg (26.5 lbs),"['Sand Veil', 'Sand Rush']","
1 Defense ","255 (33.3% with PokéBall, full HP)",70 (normal),60,Medium Fast,['Field'],"['50% male', '50% female']","20 (4,884–5,140 steps)
","['Fire', 'Fighting', 'Ground']","['Normal', 'Grass', 'Flying', 'Psychic', 'Bug', 'Dragon', 'Fairy']",['Poison'],027 (Red/Blue/Yellow)048 (Gold/Silver/Crystal)112 (Ruby/Sapphire/Emerald)027 (FireRed/LeafGreen)048 (HeartGold/SoulSilver)113 (Black 2/White 2)097 (X/Y — Mountain Kalos)117 (Omega Ruby/Alpha Sapphire)251 (Sun/Moon — Alola dex)328 (U.Sun/U.Moon — Alola dex)027 (Let's Go Pikachu/Let's Go Eevee),"[('1', 'Defense Curl'), ('1', 'Scratch'), ('4', 'Poison Sting'), ('8', 'Sand Attack'), ('12', 'Swift'), ('16', 'Fury Swipes'), ('20', 'Dig'), ('24', 'Protect'), ('28', 'Swords Dance'), ('32', 'Slash'), ('36', 'Earthquake')]"
028,Sandslash,['Ground'],Mouse Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),"['Sand Veil', 'Sand Rush']","
2 Defense ","90 (11.8% with PokéBall, full HP)",70 (normal),158,Medium Fast,['Field'],"['50% male', '50% female']","20 (4,884–5,140 steps)
","['Fire', 'Fighting', 'Ground']","['Normal', 'Grass', 'Flying', 'Psychic', 'Bug', 'Dragon', 'Fairy']",['Poison'],028 (Red/Blue/Yellow)049 (Gold/Silver/Crystal)113 (Ruby/Sapphire/Emerald)028 (FireRed/LeafGreen)049 (HeartGold/SoulSilver)114 (Black 2/White 2)098 (X/Y — Mountain Kalos)118 (Omega Ruby/Alpha Sapphire)252 (Sun/Moon — Alola dex)329 (U.Sun/U.Moon — Alola dex)028 (Let's Go Pikachu/Let's Go Eevee),"[('1', 'Counter'), ('1', 'Defense Curl'), ('1', 'Poison Sting'), ('1', 'Sand Attack'), ('1', 'Scratch'), ('4', 'Poison Sting'), ('8', 'Sand Attack'), ('12', 'Swift'), ('16', 'Fury Swipes'), ('20', 'Dig'), ('28', 'Protect'), ('36', 'Swords Dance'), ('44', 'Slash'), ('52', 'Earthquake')]"
029,Nidoran♀,['Poison'],Poison Pin Pokémon,0.4 m (1′04″),7.0 kg (15.4 lbs),"['Poison Point', 'Rivalry', 'Hustle']","
1 HP ","235 (30.7% with PokéBall, full HP)",70 (normal),55,Medium Slow,"['Field', 'Monster']","['0% male', '100% female']","20 (4,884–5,140 steps)
","['Ground', 'Psychic']","['Grass', 'Fighting', 'Poison', 'Bug', 'Fairy']",[],A mild-mannered Pokémon that does not like to fight. Beware—its small horn secretes venom.,"[('1', 'Growl'), ('1', 'Scratch'), ('3', 'Tail Whip'), ('6', 'Poison Sting'), ('9', 'Double Kick'), ('12', 'Bite'), ('15', 'Helping Hand'), ('18', 'Toxic'), ('21', 'Fury Swipes'), ('24', 'Crunch'), ('27', 'Super Fang')]"
030,Nidorina,['Poison'],Poison Pin Pokémon,0.8 m (2′07″),20.0 kg (44.1 lbs),"['Poison Point', 'Rivalry', 'Hustle']","
2 HP ","120 (15.7% with PokéBall, full HP)",70 (normal),128,Medium Slow,['Undiscovered'],"['0% male', '100% female']","20 (4,884–5,140 steps)
","['Ground', 'Psychic']","['Grass', 'Fighting', 'Poison', 'Bug', 'Fairy']",[],"When resting deep in its burrow, its barbs always retract. This is proof that it is relaxed.","[('1', 'Growl'), ('1', 'Poison Sting'), ('1', 'Scratch'), ('1', 'Tail Whip'), ('3', 'Tail Whip'), ('6', 'Poison Sting'), ('9', 'Double Kick'), ('12', 'Bite'), ('15', 'Helping Hand'), ('23', 'Toxic'), ('31', 'Fury Swipes'), ('39', 'Crunch'), ('47', 'Super Fang')]"
